Step,fedmix beta0.1,fedmix beta0.5,fedmix beta5,naivemix beta0.1,naivemix beta0.5,naivemix beta5,fedavg beta0.1,fedavg beta0.5,fedavg beta5
0,0.1868000030517580,0.2759999930858610,0.47029998898506200,0.24860000610351600,0.2754000127315520,0.44119998812675500,0.20579999685287500,0.22630000114440900,0.47769999504089400
1,0.3140999972820280,0.44929999113082900,0.545199990272522,0.34610000252723700,0.4429999887943270,0.5115000009536740,0.31380000710487400,0.45339998602867100,0.5443999767303470
2,0.42260000109672500,0.5094000101089480,0.5659999847412110,0.3880000114440920,0.5073000192642210,0.5601000189781190,0.40560001134872400,0.5253000259399410,0.5529000163078310
3,0.4377000033855440,0.5303999781608580,0.5706999897956850,0.4104999899864200,0.5264000296592710,0.5817000269889830,0.4383000135421750,0.516700029373169,0.566100001335144
4,0.4471000134944920,0.5390999913215640,0.5680000185966490,0.424699991941452,0.5428000092506410,0.5781999826431270,0.4323999881744390,0.5303999781608580,0.5543000102043150
5,0.45829999446868900,0.534500002861023,0.5720999836921690,0.4341999888420110,0.5435000061988830,0.5827000141143800,0.4496999979019170,0.534600019454956,0.5685999989509580
6,0.4593999981880190,0.5371000170707700,0.5734000205993650,0.44679999351501500,0.5439000129699710,0.5400999784469600,0.460099995136261,0.526199996471405,0.5701000094413760
7,0.45590001344680800,0.5351999998092650,0.5838000178337100,0.43849998712539700,0.5457000136375430,0.5663999915122990,0.44769999384880100,0.5313000082969670,0.564300000667572
8,0.459199994802475,0.527899980545044,0.5825999975204470,0.44679999351501500,0.5442000031471250,0.5681999921798710,0.4481000006198880,0.5249999761581420,0.5712000131607060
9,0.4596000015735630,0.535099983215332,0.5613999962806700,0.45100000500679000,0.5454000234603880,0.5830000042915340,0.4499000012874600,0.5274999737739560,0.564300000667572
10,0.45899999141693100,0.526199996471405,0.5350000262260440,0.4408999979496000,0.5428000092506410,0.5813999772071840,0.44920000433921800,0.5306000113487240,0.5741999745368960
11,0.46369999647140500,0.5350000262260440,0.5781999826431270,0.45329999923706100,0.5443000197410580,0.579200029373169,0.4498000144958500,0.5281000137329100,0.5745000243186950
12,0.4577000141143800,0.5278000235557560,0.5812000036239620,0.4478999972343450,0.5396999716758730,0.5600000023841860,0.4535999894142150,0.5238000154495240,0.5730000138282780
13,0.4652000069618230,0.5343999862670900,0.5831000208854680,0.450300008058548,0.5400000214576720,0.5756000280380250,0.4438000023365020,0.524399995803833,0.5705000162124630
14,0.460099995136261,0.5335000157356260,0.5831000208854680,0.44519999623298600,0.5368000268936160,0.5782999992370610,0.4595000147819520,0.522599995136261,0.5767999887466430
15,0.460099995136261,0.5303999781608580,0.5792999863624570,0.4519999921321870,0.5340999960899350,0.5746999979019170,0.45260000228881800,0.5223000049591060,0.5795999765396120
16,0.46230000257492100,0.5300999879837040,0.5812000036239620,0.4447999894618990,0.5357999801635740,0.5685999989509580,0.4553999900817870,0.5227000117301940,0.5734000205993650
17,0.4627000093460080,0.5333999991416930,0.5734000205993650,0.45089998841285700,0.5350000262260440,0.5753999948501590,0.45399999618530300,0.5231000185012820,0.5562999844551090
18,0.46320000290870700,0.5335000157356260,0.5794000029563900,0.4489000141620640,0.5332000255584720,0.5759000182151790,0.4523000121116640,0.5195000171661380,0.5741999745368960
19,0.46480000019073500,0.5338000059127810,0.578499972820282,0.4496000111103060,0.536899983882904,0.5726000070571900,0.45159998536109900,0.5252000093460080,0.5766000151634220
20,0.46239998936653100,0.5339999794960020,0.5760999917984010,0.4456000030040740,0.5356000065803530,0.5640000104904180,0.45669999718666100,0.5196999907493590,0.5752999782562260
21,0.46630001068115200,0.5360999703407290,0.5706999897956850,0.44850000739097600,0.5333999991416930,0.5723999738693240,0.4530999958515170,0.5194000005722050,0.5712000131607060
22,0.4632999897003170,0.5336999893188480,0.5691999793052670,0.44670000672340400,0.5338000059127810,0.5677000284194950,0.4528000056743620,0.522599995136261,0.5751000046730040
23,0.4643999934196470,0.5333999991416930,0.5746999979019170,0.4449000060558320,0.5322999954223630,0.5708000063896180,0.4535999894142150,0.5217999815940860,0.5738999843597410
24,0.45969998836517300,0.5303000211715700,0.5722000002861020,0.44699999690055800,0.531499981880188,0.5741000175476070,0.459199994802475,0.5210000276565550,0.572700023651123
25,0.46630001068115200,0.5273000001907350,0.5716999769210820,0.44760000705719000,0.5315999984741210,0.572700023651123,0.453000009059906,0.5224999785423280,0.567799985408783
26,0.4636000096797940,0.5181999802589420,0.5701000094413760,0.44369998574256900,0.5277000069618230,0.5616999864578250,0.4578999876976010,0.5189999938011170,0.5680000185966490
27,0.4699000120162960,0.5304999947547910,0.5716999769210820,0.44830000400543200,0.531000018119812,0.5722000002861020,0.4553999900817870,0.5187000036239620,0.5724999904632570
28,0.46560001373291000,0.5313000082969670,0.5720999836921690,0.4487999975681310,0.5285000205039980,0.5684999823570250,0.4593999981880190,0.5254999995231630,0.5676000118255620
29,0.4668999910354610,0.5277000069618230,0.5703999996185300,0.44780001044273400,0.5304999947547910,0.5709999799728390,0.4560999870300290,0.5235999822616580,0.571399986743927
30,0.4643000066280370,0.5307000279426580,0.5723000168800350,0.4453999996185300,0.527899980545044,0.5692999958992000,0.4523000121116640,0.5246000289916990,0.5694000124931340
31,0.4659000039100650,0.5282999873161320,0.570900022983551,0.4440999925136570,0.529699981212616,0.5687999725341800,0.4544999897480010,0.51910001039505,0.5702999830245970
32,0.46480000019073500,0.5299000144004820,0.5712000131607060,0.44179999828338600,0.5285999774932860,0.571399986743927,0.4514999985694890,0.51910001039505,0.5656999945640560
33,0.46950000524520900,0.5314000248909000,0.5695000290870670,0.4406999945640560,0.5291000008583070,0.5685999989509580,0.45350000262260400,0.5174000263214110,0.5647000074386600
34,0.46709999442100500,0.5321999788284300,0.5690000057220460,0.44339999556541400,0.5288000106811520,0.5691999793052670,0.45660001039505000,0.519599974155426,0.5293999910354610
35,0.46639999747276300,0.5285999774932860,0.5688999891281130,0.4431000053882600,0.5304999947547910,0.5683000087738040,0.45730000734329200,0.517799973487854,0.5665000081062320
36,0.46950000524520900,0.5253000259399410,0.5669000148773190,0.4424999952316280,0.5273000001907350,0.569100022315979,0.4499000012874600,0.5182999968528750,0.5648999810218810
37,0.4681999981403350,0.5296000242233280,0.5543000102043150,0.4440999925136570,0.5254999995231630,0.5695000290870670,0.45170000195503200,0.5170000195503240,0.5579000115394590
38,0.4699999988079070,0.5270000100135800,0.5680999755859380,0.44429999589920000,0.5231000185012820,0.5691999793052670,0.4562999904155730,0.5217000246047970,0.5654000043869020
39,0.47119998931884800,0.5264000296592710,0.5644000172615050,0.445499986410141,0.5257999897003170,0.5659000277519230,0.4499000012874600,0.5166000127792360,0.5641000270843510
40,0.4674000144004820,0.5257999897003170,0.5656999945640560,0.4433000087738040,0.5236999988555910,0.567799985408783,0.45739999413490300,0.5163999795913700,0.5497000217437740
41,0.4675000011920930,0.5235999822616580,0.5641999840736390,0.44769999384880100,0.5264999866485600,0.5634999871253970,0.4544000029563900,0.516700029373169,0.5611000061035160
42,0.46860000491142300,0.5246999859809880,0.5626999735832210,0.4433000087738040,0.5282999873161320,0.5685999989509580,0.4496999979019170,0.5188000202178960,0.5630000233650210
43,0.47110000252723700,0.5239999890327450,0.5633000135421750,0.44699999690055800,0.5253999829292300,0.5684999823570250,0.4537999927997590,0.5181000232696530,0.5605000257492070
44,0.46939998865127600,0.5227000117301940,0.5543000102043150,0.43950000405311600,0.5231999754905700,0.5669999718666080,0.45339998602867100,0.5128999948501590,0.564300000667572
45,0.46939998865127600,0.5260000228881840,0.5637000203132630,0.44769999384880100,0.5248000025749210,0.5666000247001650,0.45320001244545000,0.513700008392334,0.5626999735832210
46,0.47209998965263400,0.5231999754905700,0.5641999840736390,0.44350001215934800,0.5257999897003170,0.5652999877929690,0.45579999685287500,0.5152000188827520,0.5579000115394590
47,0.47029998898506200,0.5220999717712400,0.5598000288009640,0.444599986076355,0.5235999822616580,0.5554999709129330,0.448199987411499,0.5131000280380250,0.5623000264167790
48,0.4717999994754790,0.5248000025749210,0.5582000017166140,0.4406000077724460,0.5199000239372250,0.5652999877929690,0.45329999923706100,0.5131999850273130,0.5579000115394590
49,0.4691999852657320,0.5253999829292300,0.5385000109672550,0.44440001249313400,0.517300009727478,0.5515999794006350,0.4569999873638150,0.5139999985694890,0.5590999722480770
50,0.4708000123500820,0.5224999785423280,0.5544999837875370,0.44029998779296900,0.5199000239372250,0.5440999865531920,0.45159998536109900,0.5138999819755550,0.5597000122070310
51,0.4708999991416930,0.5217000246047970,0.5590999722480770,0.44179999828338600,0.5216000080108640,0.5672000050544740,0.4505000114440920,0.5116000175476070,0.5580000281333920
52,0.47040000557899500,0.5205000042915340,0.5608000159263610,0.43959999084472700,0.5192999839782720,0.5626999735832210,0.45410001277923600,0.5113000273704530,0.5618000030517580
53,0.46869999170303300,0.5184000134468080,0.5598999857902530,0.44510000944137600,0.5199000239372250,0.5630999803543090,0.45410001277923600,0.5105999708175660,0.5575000047683720
54,0.46790000796318100,0.5202000141143800,0.5593000054359440,0.44440001249313400,0.5231000185012820,0.5616000294685360,0.4578000009059910,0.5123999714851380,0.5583999752998350
55,0.4699999988079070,0.5174999833107000,0.5577999949455260,0.4415000081062320,0.5230000019073490,0.5541999936103820,0.453000009059906,0.5116999745368960,0.5583000183105470
56,0.4699000120162960,0.5166000127792360,0.555400013923645,0.44530001282692000,0.5212000012397770,0.5636000037193300,0.45680001378059400,0.5141000151634220,0.5562999844551090
57,0.47189998626709000,0.5160999894142150,0.5572999715805050,0.4408999979496000,0.5216000080108640,0.5637000203132630,0.4569000005722050,0.5152000188827520,0.5530999898910520
58,0.4699000120162960,0.5156000256538390,0.5509999990463260,0.4438000023365020,0.5217000246047970,0.5625,0.45910000801086400,0.512499988079071,0.5533999800682070
59,0.47279998660087600,0.5141000151634220,0.5454999804496770,0.44350001215934800,0.5192000269889830,0.5608999729156490,0.4560000002384190,0.5133000016212460,0.5562000274658200
60,0.46540001034736600,0.5178999900817870,0.5570999979972840,0.44620001316070600,0.5223000049591060,0.5627999901771550,0.4611999988555910,0.5080000162124630,0.5543000102043150
61,0.4724000096321110,0.5174999833107000,0.5579000115394590,0.4424999952316280,0.520799994468689,0.5597000122070310,0.45989999175071700,0.5098999738693240,0.5550000071525570
62,0.46810001134872400,0.5170999765396120,0.5543000102043150,0.44449999928474400,0.5214999914169310,0.5612999796867370,0.45899999141693100,0.510200023651123,0.557200014591217
63,0.47099998593330400,0.5170999765396120,0.5460000038146970,0.44429999589920000,0.520799994468689,0.5595999956130980,0.4551999866962430,0.508899986743927,0.5530999898910520
64,0.4668999910354610,0.5175999999046330,0.5572999715805050,0.4440999925136570,0.5192000269889830,0.5616000294685360,0.4546999931335450,0.5098999738693240,0.5530999898910520
65,0.47450000047683700,0.5170000195503240,0.5562000274658200,0.44429999589920000,0.5210999846458440,0.5317999720573430,0.45809999108314500,0.5101000070571900,0.5523999929428100
66,0.46939998865127600,0.5170999765396120,0.5562999844551090,0.4447999894618990,0.5205000042915340,0.48980000615119900,0.45879998803138700,0.5041999816894530,0.5533000230789190
67,0.46790000796318100,0.5141000151634220,0.5508000254631040,0.44429999589920000,0.519599974155426,0.5626000165939330,0.45509999990463300,0.5076000094413760,0.5511999726295470
68,0.4715999960899350,0.5156999826431270,0.5573999881744390,0.44609999656677200,0.5192999839782720,0.5597000122070310,0.4523000121116640,0.5073999762535100,0.5523999929428100
69,0.4666999876499180,0.515999972820282,0.513700008392334,0.4438000023365020,0.5238000154495240,0.5641000270843510,0.45350000262260400,0.5091000199317930,0.5533999800682070
70,0.47099998593330400,0.5144000053405760,0.5582000017166140,0.4490000009536740,0.5220000147819520,0.564300000667572,0.4546999931335450,0.5084999799728390,0.5461000204086300
71,0.46779999136924700,0.5144000053405760,0.5547999739646910,0.44690001010894800,0.5205000042915340,0.564300000667572,0.46129998564720200,0.5117999911308290,0.5440999865531920
72,0.4706999957561490,0.516700029373169,0.5529999732971190,0.44769999384880100,0.5202999711036680,0.5665000081062320,0.4607999920845030,0.5059000253677370,0.5526000261306760
73,0.4684000015258790,0.5171999931335450,0.5533000230789190,0.4429999887943270,0.5210000276565550,0.5638999938964840,0.4611000120639800,0.5083000063896180,0.5519999861717220
74,0.4652999937534330,0.5142999887466430,0.5515999794006350,0.4528999924659730,0.5213000178337100,0.5637000203132630,0.45660001039505000,0.503600001335144,0.5533999800682070
75,0.46650001406669600,0.5139999985694890,0.5490999817848210,0.4438000023365020,0.5192000269889830,0.5651000142097470,0.4603999853134160,0.5073000192642210,0.5525000095367430
76,0.4708999991416930,0.5162000060081480,0.5511000156402590,0.4487000107765200,0.5195000171661380,0.5625,0.4602999985218050,0.5031999945640560,0.5509999990463260
77,0.4690000116825100,0.5135999917984010,0.5493000149726870,0.4447000026702880,0.5220999717712400,0.5633999705314640,0.4602999985218050,0.5076000094413760,0.5432999730110170
78,0.4668999910354610,0.5171999931335450,0.5501999855041500,0.44830000400543200,0.5196999907493590,0.541100025177002,0.4618000090122220,0.5008999705314640,0.5569000244140630
79,0.46619999408721900,0.5145000219345090,0.5486999750137330,0.44359999895095800,0.5206999778747560,0.5638999938964840,0.4643999934196470,0.5062000155448910,0.5486000180244450
80,0.46700000762939500,0.5156000256538390,0.5498999953269960,0.4519999921321870,0.520799994468689,0.5630999803543090,0.4571000039577480,0.5077000260353090,0.550599992275238
81,0.46720001101493800,0.5151000022888180,0.5493000149726870,0.4449999928474430,0.5174999833107000,0.5598999857902530,0.4519999921321870,0.5081999897956850,0.5529000163078310
82,0.46799999475479100,0.5120999813079830,0.5489000082015990,0.450300008058548,0.5206999778747560,0.5626999735832210,0.4546000063419340,0.5047000050544740,0.5530999898910520
83,0.4702000021934510,0.5134999752044680,0.5485000014305120,0.4453999996185300,0.5192000269889830,0.564300000667572,0.4535999894142150,0.5090000033378600,0.5483999848365780
84,0.46700000762939500,0.5113999843597410,0.5493000149726870,0.453000009059906,0.519599974155426,0.5640000104904180,0.45179998874664300,0.5077000260353090,0.54339998960495
85,0.4666999876499180,0.5151000022888180,0.5475999712944030,0.4449000060558320,0.5217999815940860,0.5638999938964840,0.45559999346733100,0.5084999799728390,0.552299976348877
86,0.4681999981403350,0.5144000053405760,0.546500027179718,0.4514999985694890,0.5223000049591060,0.5587999820709230,0.45080000162124600,0.5015000104904180,0.5543000102043150
87,0.4659000039100650,0.5099999904632570,0.5471000075340270,0.44510000944137600,0.520799994468689,0.5619999766349790,0.45739999413490300,0.5062999725341800,0.5432999730110170
88,0.4657000005245210,0.5148000121116640,0.5478000044822690,0.44769999384880100,0.5221999883651730,0.5613999962806700,0.45329999923706100,0.5044999718666080,0.5511999726295470
89,0.4675999879837040,0.5163000226020810,0.5464000105857850,0.44690001010894800,0.5202000141143800,0.5622000098228460,0.4553000032901760,0.5077000260353090,0.5307000279426580
90,0.46480000019073500,0.5156000256538390,0.5461999773979190,0.44359999895095800,0.5209000110626220,0.5615000128746030,0.45559999346733100,0.505299985408783,0.5490999817848210
91,0.4672999978065490,0.5144000053405760,0.5475999712944030,0.4456999897956850,0.5209000110626220,0.5613999962806700,0.45879998803138700,0.5037000179290770,0.550000011920929
92,0.4652000069618230,0.515500009059906,0.54339998960495,0.445499986410141,0.5188999772071840,0.5587000250816350,0.4528000056743620,0.507099986076355,0.5526999831199650
93,0.4684000015258790,0.5138000249862670,0.5503000020980840,0.448199987411499,0.5194000005722050,0.5572999715805050,0.4595000147819520,0.5005000233650210,0.5486000180244450
94,0.4616999924182890,0.5127000212669370,0.545799970626831,0.44440001249313400,0.5184000134468080,0.5620999932289120,0.4587000012397770,0.5097000002861020,0.5496000051498410
95,0.4708000123500820,0.5149999856948850,0.545799970626831,0.45010000467300400,0.5203999876976010,0.5625,0.4603999853134160,0.5026999711990360,0.5472999811172490
96,0.4634999930858610,0.5145999789237980,0.5482000112533570,0.4422999918460850,0.5178999900817870,0.5616000294685360,0.46059998869895900,0.49549999833107000,0.54830002784729
97,0.4691999852657320,0.5153999924659730,0.5509999990463260,0.451200008392334,0.5192000269889830,0.5636000037193300,0.4569999873638150,0.5012000203132630,0.5503000020980840
98,0.46380001306533800,0.5133000016212460,0.5468999743461610,0.4431999921798710,0.5194000005722050,0.5625,0.45980000495910600,0.510200023651123,0.5509999990463260
99,0.46810001134872400,0.5135999917984010,0.5454000234603880,0.45179998874664300,0.5175999999046330,0.560699999332428,0.45739999413490300,0.5041999816894530,0.539900004863739